product_handle	sku	thumbnail_file	image_files
cbd-gummies-broad-spectrum	gum-bs-cbd-25-4ct	cbd-gummies/products/gum-bs-cbd-25-4ct/full/GUMMY_25MG_BSO_4CT_FRONT_FULL_2048x2048.png	cbd-gummies/products/gum-bs-cbd-25-4ct/full/GUMMY_25MG_BSO_4CT_FRONT_FULL_2048x2048.png,cbd-gummies/products/gum-bs-cbd-25-4ct/full/GUMMY_25MG_BSO_4CT_BACK_FULL_2048x2048.png
cbd-gummies-broad-spectrum	gum-bs-cbd-25-30ct	cbd-gummies/products/gum-bs-cbd-25-30ct/full/GUMMY_25MG_BSO_30CT_FRONT_FULL_2048x2048.webp	cbd-gummies/products/gum-bs-cbd-25-30ct/full/GUMMY_25MG_BSO_30CT_FRONT_FULL_2048x2048.webp,cbd-gummies/products/gum-bs-cbd-25-30ct/full/GUMMY_25MG_BSO_30CT_BACK_FULL_2048x2048.webp,cbd-gummies/products/gum-bs-cbd-25-30ct/full/GUMMY_NUTE_LABEL_25mgBSOGummies_FULL_2048x2048.webp,cbd-gummies/products/gum-bs-cbd-25-30ct/full/GUMMY_INFO_GRAPHICS_25mg_FULL_2048x2048.webp
cbd-gummies-broad-spectrum	gum-bs-cbd-25-100ct	cbd-gummies/products/gum-bs-cbd-25-100ct/full/GUMMY_25MG_BSO_100CT_FRONT_FULL_2048x2048.webp	cbd-gummies/products/gum-bs-cbd-25-100ct/full/GUMMY_25MG_BSO_100CT_FRONT_FULL_2048x2048.webp,cbd-gummies/products/gum-bs-cbd-25-100ct/full/GUMMY_25MG_BSO_100CT_BACK_FULL_2048x2048.webp
cbd-gummies-broad-spectrum	gum-bs-cbd-50-4ct	cbd-gummies/products/gum-bs-cbd-50-4ct/full/GUMMY_50MG_BSO_4CT_FRONT_FULL_2048x2048.png	cbd-gummies/products/gum-bs-cbd-50-4ct/full/GUMMY_50MG_BSO_4CT_FRONT_FULL_2048x2048.png,cbd-gummies/products/gum-bs-cbd-50-4ct/full/GUMMY_50MG_BSO_4CT_BACK_FULL_2048x2048.png
cbd-gummies-broad-spectrum	gum-bs-cbd-50-30ct	cbd-gummies/products/gum-bs-cbd-50-30ct/full/GUMMY_50MG_BSO_30CT_FRONT_FULL_2048x2048.webp	cbd-gummies/products/gum-bs-cbd-50-30ct/full/GUMMY_50MG_BSO_30CT_FRONT_FULL_2048x2048.webp,cbd-gummies/products/gum-bs-cbd-50-30ct/full/GUMMY_50MG_BSO_30CT_BACK_FULL_2048x2048.webp,cbd-gummies/products/gum-bs-cbd-50-30ct/full/GUMMY_NUTE_LABEL_50mgBSOGummies_FULL_2048x2048.webp,cbd-gummies/products/gum-bs-cbd-50-30ct/full/GUMMY_INFO_GRAPHICS_2_50mg_FULL_2048x2048.webp
cbd-gummies-broad-spectrum	gum-bs-cbd-50-100ct	cbd-gummies/products/gum-bs-cbd-50-100ct/full/GUMMY_50MG_BSO_100CT_FRONT_FULL_2048x2048.webp	cbd-gummies/products/gum-bs-cbd-50-100ct/full/GUMMY_50MG_BSO_100CT_FRONT_FULL_2048x2048.webp,cbd-gummies/products/gum-bs-cbd-50-100ct/full/GUMMY_50MG_BSO_100CT_BACK_FULL_2048x2048.webp
cbd-gummies-broad-spectrum-melatonin	gum-bs-cbd-25-4ct-mel	cbd-gummies/products/gum-bs-cbd-25-4ct-mel/full/GUMMY_25MG_BSOPM_4CT_FRONT_FULL_2048x2048.png	cbd-gummies/products/gum-bs-cbd-25-4ct-mel/full/GUMMY_25MG_BSOPM_4CT_FRONT_FULL_2048x2048.png,cbd-gummies/products/gum-bs-cbd-25-4ct-mel/full/GUMMY_25MG_BSOPM_4CT_BACK_FULL_2048x2048.png
cbd-gummies-broad-spectrum-melatonin	gum-bs-cbd-25-30ct-mel	cbd-gummies/products/gum-bs-cbd-25-30ct-mel/full/GUMMY_25MG_BSOPM_30CT_FRONT_FULL_2048x2048.webp	cbd-gummies/products/gum-bs-cbd-25-30ct-mel/full/GUMMY_25MG_BSOPM_30CT_FRONT_FULL_2048x2048.webp,cbd-gummies/products/gum-bs-cbd-25-30ct-mel/full/GUMMY_25MG_BSOPM_30CT_BACK_FULL_2048x2048.webp,cbd-gummies/products/gum-bs-cbd-25-30ct-mel/full/GUMMY_NUTE_LABEL_25mgBSOPMGummies_FULL_2048x2048.webp,cbd-gummies/products/gum-bs-cbd-25-30ct-mel/full/GUMMY_INFO_GRAPHICS_25mg_PM_FULL_2048x2048.webp
cbd-gummies-broad-spectrum-melatonin	gum-bs-cbd-25-100ct-mel	cbd-gummies/products/gum-bs-cbd-25-100ct-mel/full/GUMMY_25MG_BSOPM_4CT_BACK_FULL_2048x2048.png	cbd-gummies/products/gum-bs-cbd-25-100ct-mel/full/GUMMY_25MG_BSOPM_4CT_BACK_FULL_2048x2048.png,cbd-gummies/products/gum-bs-cbd-25-100ct-mel/full/GUMMY_25MG_BSOPM_4CT_FRONT_THUMB_2048x2048.png
cbd-gummies-broad-spectrum-melatonin	gum-bs-cbd-50-4ct-mel	cbd-gummies/products/gum-bs-cbd-50-4ct-mel/full/GUMMY_50MG_BSOPM_4CT_FRONT_FULL_2048x2048.png	cbd-gummies/products/gum-bs-cbd-50-4ct-mel/full/GUMMY_50MG_BSOPM_4CT_FRONT_FULL_2048x2048.png,cbd-gummies/products/gum-bs-cbd-50-4ct-mel/full/GUMMY_50MG_BSOPM_4CT_BACK_FULL_2048x2048.png
